# 抽取翻译表：<原文>\t<英文>\t<资源名>
# 由 tools/i18n/extract.py 使用；同一个字面量在全局共用一个资源。
# 原文列必须与源码里的字符串**逐字一致**（含 \n 这类转义），否则工具会跳过它。

沉浸式翻译	Immersive translation	translate_title
提交模式	Commit mode	nav_commit_mode
搜索	Search	action_search
搜索日志	Search logs	action_search_logs
撤销	Undo	action_undo
撤销并丢弃改动	Undo and discard changes	action_undo_discard
撤销并丢弃改动（reset --hard）	Undo and discard changes (reset --hard)	action_undo_discard_hard
撤销提交	Undo commit	action_undo_commit
撤销提交，保留改动（reset --soft）	Undo commit and keep changes (reset --soft)	action_undo_commit_soft
改动回到工作区（dirty），可重新编辑再提交。	The changes return to the working tree (dirty) and can be edited and committed again.	note_undo_soft
放弃本地	Discard local	action_discard_local
新建分支	New branch	action_new_branch
新建发布	New release	action_new_release
无法读取仓库状态（目录无效或状态读取失败）	Cannot read repository status (invalid directory or status read failed)	error_repo_status_unreadable
更新	Update	action_update
更新内容	Update content	label_update_content
最新发布	Latest release	label_latest_release
最近活动	Recent activity	label_recent_activity
未推送提交	Unpushed commits	label_unpushed_commits
未知用户	Unknown user	label_unknown_user
本地仓库未拉取	Local repository not cloned	state_local_repo_missing
本地分支同步	Local branch sync	nav_local_branch_sync
本地草稿	Local draft	label_local_draft
查看远端最新	View latest from remote	action_view_remote_latest
标记完成	Mark as done	action_mark_done
没有需要同步的分支	No branches need syncing	state_nothing_to_sync
清除	Clear	action_clear_selection
登出	Sign out	action_sign_out_alt
登录	Sign in	action_sign_in
目标已是最新，无需同步	Already up to date; nothing to sync	state_already_up_to_date
移入「已完成」	Move to Done	action_move_to_done
筛选与视图	Filters and views	label_filters_and_views
系统通知	System notifications	label_system_notifications
级别	Level	label_level
编辑资料	Edit profile	action_edit_profile
草稿保存失败	Failed to save draft	error_draft_save_failed
草稿已保存	Draft saved	toast_draft_saved
覆盖	Overwrite	action_overwrite
该提交的改动永久丢失，需勾选二次确认。	The changes in this commit will be lost permanently; tick the confirmation box to continue.	confirm_permanent_loss
请先勾选确认	Tick the confirmation box first	error_confirm_required_short
请选择	Please choose	state_please_choose
账号	Account	nav_account
返回修改	Back to editing	action_back_to_edit
返回工作区	Back to working tree	action_back_to_worktree
退出多选	Exit multi-select	action_exit_multiselect
退出登录 ${account.login}	Sign out of %1$s	confirm_sign_out_title
静音	Mute	action_mute
预发布	Pre-release	label_prerelease
预览	Preview	label_preview
验证	Verify	action_verify
默认分支已切换为 $b	Default branch switched to %1$s	toast_default_branch_switched
（无）	(none)	label_none
＋ 新建分支	+ New branch	action_new_branch_plus
## 变更内容\n- 待补充\n\n## 测试\n- [ ] 已验证	## Changes\n- TBD\n\n## Tests\n- [ ] Verified	pr_template_default
提交 ${changedFiles.size} 个文件到 $branch	Commit %1$s files to %2$s	pr_commit_files_to_branch
读取待提交文件内容…	Reading the files to commit…	state_reading_commit_files
读不到这些文件的内容：${resolution.paths.joinToString("、")}	Cannot read these files: %1$s	error_cannot_read_files
$reason。新建的文件请先在文件页保存草稿；已提交的改动请确认路径仍然存在。	%1$s. For new files, save a draft on the file page first; for already committed changes, check that the path still exists.	error_commit_reason_hint
读取 $baseBranch 的提交…	Reading commits from %1$s…	state_reading_base_commits
无法读取 $baseBranch	Cannot read %1$s	error_cannot_read_branch
无法读取基准分支 $baseBranch 的提交，本次没有做任何改动	Cannot read commits from the base branch %1$s; nothing was changed	error_cannot_read_base_commits
创建分支 $branch…	Creating branch %1$s…	state_creating_branch
分支 $branch 已存在，且包含 $baseBranch 之外的提交	Branch %1$s already exists and contains commits that are not in %2$s	error_branch_exists_with_commits
$reason。请换一个分支名，避免覆盖别人（或你之前）的改动。	%1$s. Choose another branch name so you do not overwrite someone else's (or your own earlier) changes.	error_branch_name_taken
创建分支失败：$branchErr	Failed to create the branch: %1$s	error_create_branch_failed
提交 ${files.size} 个文件…	Committing %1$s files…	state_committing_files
引擎没有返回结果，提交可能未落盘	The engine returned nothing; the commit may not have been written	error_engine_no_result_commit
已提交 ${files.size} 个文件 · ${sha.take(7)}	Committed %1$s files · %2$s	state_committed_files
请填写 PR 标题	Enter a PR title	error_pr_title_required
分支 $branchName 还没有本次提交，请先返回上一步完成提交	Branch %1$s has no commit from this session yet; go back and commit first	error_branch_has_no_commit
创建 PR…	Creating PR…	state_creating_pr
创建 PR · $branchName → $baseBranch	Create PR · %1$s → %2$s	state_creating_pr_detail
PR 已创建	PR created	state_pr_created
PR 已创建 · $branchName → $baseBranch	PR created · %1$s → %2$s	state_pr_created_detail
创建 PR 失败：$prErr	Failed to create the PR: %1$s	error_create_pr_failed
开 PR · 一条龙	Open PR · one-stop	nav_pr_onestop
$owner/$repo · 步骤 ${step + 1}/3	%1$s/%2$s · step %3$s of 3	label_step_of_three
基于 $baseBranch 新建分支并提交，随后用该分支开 PR —— 全程不直接推送到 $baseBranch。	Create a branch from %1$s, commit, then open a PR from that branch — nothing is pushed directly to %2$s.	pr_onestop_intro
分支命名	Branch name	label_branch_naming
新分支名	New branch name	label_new_branch_name
基于（base）	Based on (base)	label_based_on
分支名校验：非空 / 不含空格（宿主没有提供现有分支清单，本次不查重）。保护分支与命名规则由远端在创建分支、开 PR 时校验，本地不做承诺。	Branch name rules: not empty / no spaces (no existing branch list was provided, so duplicates are not checked). Protection and naming rules are enforced by the remote when creating a branch or opening a PR; nothing is promised locally.	note_branch_name_rules_no_list
分支名校验：非空 / 不含空格 / 不与 $owner/$repo 现有的 ${branches.size} 个分支重名。保护分支与命名规则由远端在创建分支、开 PR 时校验，本地不做承诺。	Branch name rules: not empty / no spaces / must not duplicate any of the %3$s existing branches in %1$s/%2$s. Protection and naming rules are enforced by the remote when creating a branch or opening a PR; nothing is promised locally.	note_branch_name_rules_with_list
这一步真提交：先建分支，再用 Git Data API 把下列文件合成一个提交。文件内容优先取文件页的草稿，没有草稿的取它在 $baseBranch 上的当前内容。	This step really commits: it creates the branch, then combines the files below into a single commit through the Git Data API. File contents come from the file page draft when there is one, otherwise from the current content on %1$s.	note_real_commit
变更文件 · 0 个	Changed files · 0	label_changed_files_zero
变更文件 · ${changedFiles.size} 个	Changed files · %1$s	label_changed_files_count
可改。提交成功后，它会成为 PR 标题的默认值（你已经手改过标题则不动你的）。	Editable. After a successful commit it becomes the default PR title (a title you edited by hand is left untouched).	note_commit_message_becomes_title
已提交 ${committedSha!!.take(7)}（$committedCount 个文件）；提交信息改过了，再点「提交并继续」会再产生一个提交。	Committed %1$s (%2$s files); the message was changed, so tapping “Commit and continue” again creates another commit.	note_committed_message_changed
已提交 ${committedSha!!.take(7)}（$committedCount 个文件）到 $branchName，点「提交并继续」直接进入下一步。	Committed %1$s (%2$s files) to %3$s; tap “Commit and continue” to go straight to the next step.	note_committed_continue
目标	Target	label_target
$baseBranch（合并到）	%1$s (merges into)	label_target_base
$branchName（改动源）	%1$s (source of changes)	label_target_head
本次提交	This commit	label_this_commit
（尚无提交）	(no commit yet)	state_no_commit_yet
文件	Files	label_files
$committedCount 个	%1$s files	label_file_count
PR 信息	PR details	label_pr_info
标题	Title	label_title
描述（模板预填）	Description (prefilled from the template)	label_description_prefilled
选项	Options	label_options
草稿 PR	Draft PR	label_draft_pr
暂不通知审阅者，可随时转为正式	Reviewers are not notified; can be marked ready at any time	note_draft_pr
分支 $branchName 上还没有本次提交 —— 先返回上一步完成提交，再创建 PR（否则 PR 里不会有改动）。	Branch %1$s has no commit from this session yet — go back and commit first, then create the PR (otherwise the PR will contain no changes).	warning_no_commit_before_pr
上一步	Previous	action_previous
下一步	Next	action_next
提交并继续	Commit and continue	action_commit_and_continue
创建草稿 PR	Create draft PR	action_create_draft_pr
创建 PR	Create PR	action_create_pr
引擎没有返回结果	The engine returned nothing	error_engine_no_result
切换失败：$err	Switch failed: %1$s	error_switch_failed
切换默认分支失败：$err	Failed to switch the default branch: %1$s	error_switch_default_failed
没有需要检查的分支	No branches to check	state_no_branches_to_check
已检查 ${targets.size} 个分支相对 $selectedDefault 的合并状态	Checked %1$s branches against %2$s	state_checked_branches
（单次上限 $MERGE_CHECK_LIMIT，另有 $skipped 个未检查）	(limit %1$s per run; %2$s more were not checked)	note_merge_check_limit
删除分支 $b 失败：$err	Failed to delete branch %1$s: %2$s	error_delete_branch_failed
仓库已删除	Repository deleted	state_repo_deleted
已删除仓库 $repoName	Deleted repository %1$s	toast_repo_deleted
删除仓库 $repoName 失败：$err	Failed to delete repository %1$s: %2$s	error_delete_repo_failed
仓库设置	Repository settings	nav_repo_settings
$repoName · ⋮ 气泡进入	%1$s · opened from the ⋮ bubble	label_repo_settings_sub
通用	General	label_general
✓ 当前	✓ Current	state_current_check
变更默认分支影响：README/PR 默认 base、clone 初始分支、未指定分支的 API 请求。	Changing the default branch affects: the default base for README/PRs, the initial branch on clone, and API requests that do not name a branch.	note_default_branch_impact
合并状态：相对 $selectedDefault，按需检查	Merge status: relative to %1$s, checked on demand	label_merge_status
检查中…	Checking…	state_checking_ellipsis
检查	Check	action_check
「已合并」= 该分支相对 $selectedDefault 没有独有提交（ahead_by = 0）。squash 合并过的分支仍会显示独有提交，那不代表没合并。没点「检查」的分支一律写「未检查」。	“Merged” means the branch has no commits unique to it relative to %1$s (ahead_by = 0). Branches merged with squash still show unique commits, which does not mean they were not merged. Branches that were never checked always read “Not checked”.	note_merged_semantics
危险操作区	Danger zone	label_danger_zone
已确认	Confirmed	state_confirmed
点击确认	Tap to confirm	action_tap_to_confirm
删除前挽留统计：$statsText（只读展示，不拦截）。	Retention stats before deletion: %1$s (shown for reference only; nothing is blocked).	label_retention_stats
正在读取仓库统计…	Reading repository stats…	state_reading_repo_stats
仓库统计不可用（星标 / 复刻没取到）—— 不展示估算值，也不作为拦截条件。	Repository stats are unavailable (stars / forks could not be fetched) — no estimates are shown and nothing is blocked.	note_repo_stats_unavailable
将永久删除远端分支 $b（当前状态：${mergeStateLabel(state)}），该分支的改动无法找回。	Permanently deletes the remote branch %1$s (current state: %2$s); its changes cannot be recovered.	confirm_delete_remote_branch
我确认删除该分支	I confirm deleting this branch	confirm_delete_branch_checkbox
删除分支	Delete branch	action_delete_branch
请先在危险操作区点击确认	Confirm in the danger zone first	error_confirm_in_danger_zone
$repoName · ⚠ 升级警告	%1$s · ⚠ upgrade warning	label_upgrade_warning
该仓库有 ${unpushed.size} 个未推送提交，删除后这些提交将永久丢失，无法恢复。	This repository has %1$s unpushed commits; deleting it loses them permanently and they cannot be recovered.	warning_unpushed_commits
仓库统计：$it	Repository stats: %1$s	label_repo_stats
跳转 push 流程；push 结束后回到本地仓库列表（不会自动回到本页）。	Opens the push flow; when it finishes you return to the local repository list (not back to this page).	note_push_flow_redirect
勾选下方确认后启用删除按钮。	Tick the confirmation below to enable the delete button.	note_tick_to_enable_delete
我确认放弃这 ${unpushed.size} 个未推送提交，并永久删除本地仓库。	I confirm discarding these %1$s unpushed commits and permanently deleting the local repository.	confirm_discard_local_repo
我已确认（勾选开启）	I confirm (tick to enable)	confirm_checkbox_enable
需要访问令牌	Access token required	state_token_required
认证失败 · 私有仓库	Authentication failed · private repository	state_auth_failed_private
该仓库为私有，当前 OAuth 授权不含 repo scope，需要 PAT（Personal Access Token）或重新授权。	This repository is private and the current OAuth grant does not include the repo scope; a PAT (personal access token) or a new authorisation is required.	note_private_needs_pat
令牌	Token	label_token
ghp_…（repo scope）	ghp_… (repo scope)	hint_token_placeholder
不写日志 · 不上传服务器	Not logged · not uploaded to any server	note_token_not_logged
已识别身份：@$it	Identified as: @%1$s	state_identified_as
验证并继续	Verify and continue	action_verify_and_continue
以 @$it 的身份打开这个仓库（本次会话内读写都用它）。	Open this repository as @%1$s (used for both reads and writes in this session).	note_open_as_identity
先校验令牌有效性，再决定是否继续。	The token is validated before anything else happens.	note_token_validated_first
改用 OAuth 重新授权	Re-authorise with OAuth	action_reauth_oauth
跳转设置 → 账号管理，为当前账号补充 repo 权限。	Opens Settings → Accounts so you can add the repo scope to the current account.	note_reauth_oauth_path
记住范围	Remember scope	label_remember_scope
账号能打开这个仓库时仍然用账号；打不开时才回退到这条凭据（读写都用它）。	The account is still used whenever it can open the repository; this credential is only a fallback when it cannot (for both reads and writes).	note_credential_fallback
请输入 PAT	Enter a PAT	error_pat_required
令牌无效或权限不足：请确认已勾选 repo / read:user，且令牌未过期	Invalid token or insufficient permissions: make sure repo / read:user are ticked and the token has not expired	error_token_invalid_scope
用这个令牌打开	Open with this token	action_open_with_token
合并 PR #$prNumber	Merge PR #%1$s	action_merge_pr
合并失败：$err	Merge failed: %1$s	error_merge_failed
已合并 PR #$prNumber	Merged PR #%1$s	state_merged_pr
（分支删除失败：$delErr）	 (branch deletion failed: %1$s)	suffix_branch_delete_failed
提交压缩为 1 个，历史整洁（移动端推荐）。	Squash into a single commit — a tidy history (recommended on mobile).	merge_strategy_squash_desc
保留全部提交 + 生成合并提交，历史完整。	Keep every commit and create a merge commit — a complete history.	merge_strategy_merge_desc
提交逐个重放到 $baseBranch，线性历史无合并提交。	Replay the commits onto %1$s one by one — linear history with no merge commit.	merge_strategy_rebase_desc
合并 PR	Merge PR	label_merge_pr
$headBranch → $baseBranch · 能否合并（冲突 / 必需检查）由 GitHub 在点下合并时判定。	%1$s → %2$s · whether it can be merged (conflicts / required checks) is decided by GitHub when you tap Merge.	note_merge_decided_by_github
合并策略	Merge strategy	label_merge_strategy
合并后	After merging	label_after_merge
删除 head 分支（$headBranch）	Delete the head branch (%1$s)	label_delete_head_branch
合并后自动删除，保持分支列表整洁	Deleted automatically after merging, keeping the branch list tidy	note_delete_head_branch
策略将按仓库记忆最近一次选择（Room），下次默认带入。	The strategy is remembered per repository (Room) and pre-selected next time.	note_strategy_remembered
${names[strategy]} 并合并	%1$s and merge	action_merge_with_strategy
同步冲突	Sync conflict	state_sync_conflict
$fileName · 多端编辑	%1$s · edited on multiple devices	label_multi_device_edit
离线期间，他人在其他设备修改了同一文件。远端 sha 已变化，本地草稿基于旧版本。	While you were offline, someone edited the same file on another device. The remote SHA has changed and your local draft is based on an older version.	note_offline_conflict
$fileName · 并排对比	%1$s · side by side	label_side_by_side
本地草稿（离线）	Local draft (offline)	label_local_draft_offline
远端新版本	New remote version	label_remote_new_version
本地改动不变。提交时将基于旧 sha 被拒 → 走 P0-1 分叉决策页。	Local changes are untouched. Committing will be rejected because it is based on the old SHA → the fork decision page is used.	note_local_unchanged_rejected
放弃本地，载入远端	Discard local and load the remote	action_discard_local_load_remote
本地草稿永久删除（需二次确认）。	The local draft is deleted permanently (confirmation required).	note_discard_local_permanent
双开保全：本地草稿不动，远端另存为 ${fileName}.remote。	Keep both: the local draft is untouched and the remote is saved as %1$s.remote.	note_keep_both_remote_copy
本地草稿将永久删除，未保存内容无法找回。	The local draft will be deleted permanently; unsaved content cannot be recovered.	warning_local_draft_lost
我确认放弃本地草稿	I confirm discarding the local draft	confirm_discard_local_draft
暂无星标	No starred repositories yet	state_no_starred
项目	Projects	nav_projects
新建	New	action_new
暂无项目	No projects yet	state_no_projects
账户	Account	label_account_group
$repoCredentialCount 条	%1$s	label_credential_count
只在当前账号打不开的私有仓库上生效。	Only applies to private repositories the current account cannot open.	note_repo_credentials_scope
外观	Appearance	label_appearance_group
主题	Theme	label_theme
选「跟随系统」时，App 会随系统的浅色 / 深色自动切换。	With “Follow system”, the app switches between light and dark together with the system.	note_theme_follow_system
翻译	Translation	label_translation_group
进入自述文件等正文页会自动翻译，页面上出现可移动悬浮球。	Article pages such as README files are translated automatically and a draggable floating button appears.	note_translate_enabled
关闭后不进正文页翻译，页面上的悬浮球也会收起。	When off, article pages are not translated and the floating button is hidden.	note_translate_disabled
代码与提交	Code and commits	label_code_commit_group
开启需先将「提交模式」设为「本地仓库（Git）」。	Turn on by setting Commit mode to “Local repository (Git)” first.	note_local_repo_requires_git_mode
网络	Network	label_network_group
仅作用于本地仓库的 clone / pull / push。	Only affects clone / pull / push for local repositories.	note_proxy_scope
关于与诊断	About and diagnostics	label_about_group
慢帧日志	Slow-frame log	label_frame_watch
记录每次卡顿的耗时与分段（等待 / 动画 / 绘制 …）并带上页面名；日志每天 0 点换目录、旧的丢弃。	Records the duration and breakdown of every janky frame (wait / animation / draw …) together with the page name; the log moves to a new directory at midnight and old ones are discarded.	note_frame_watch_desc
关闭后不再记录慢帧；已经写进日志的内容不受影响。	When off, no more slow frames are recorded; what is already in the log is unaffected.	note_frame_watch_disabled
$logErrors 条错误	%1$s errors	label_error_count
不可撤销	Cannot be undone	label_irreversible
将清除本机保存的凭据，并切回未登录状态。\n本地仓库目录、已下载内容与站内通知不受影响。\n此操作不可撤销 —— 需要重新走一次授权才能恢复。	Clears the credentials stored on this device and returns to the signed-out state.\nLocal repository folders, downloaded content and in-app notifications are unaffected.\nThis cannot be undone — you will need to authorise again to restore access.	confirm_sign_out_body
允许发送通知	Allow notifications	label_allow_notifications
通知显示模式	Notification display mode	label_notification_display_mode
